playlist_genre,dimension_1,dimension_2
pop,-64.87357,106.77394
pop,-89.46925,-67.15797
pop,-50.77981,-0.265394
pop,-30.51158,-62.19368
pop,-95.10531,-16.779291
pop,7.896883,67.36426
pop,-101.876595,8.533164
pop,-6.5254803,-5.235824
pop,-97.126274,-47.301376
pop,-38.0333,18.525473
pop,-15.884447,83.34302
pop,1.9010646,-108.74243
pop,58.790302,-94.44663
pop,-59.17971,11.169586
pop,-12.438248,42.82996
pop,-14.239236,-92.06515
pop,-19.64365,94.71999
pop,-4.7724853,84.24991
pop,-5.0573072,87.42245
pop,-6.3646,-118.728386
pop,-38.445473,9.289244
pop,1.7345313,31.006495
pop,-61.67902,-33.67923
pop,107.929756,17.745344
pop,-72.77522,82.80995
pop,98.12148,-47.70092
pop,-3.853874,-104.3243
pop,10.301119,-80.52185
pop,-2.2506027,-82.15619
pop,-6.6115856,96.65418
pop,64.30903,-73.761246
pop,-96.19457,40.718357
pop,-40.28272,-68.83961
pop,-71.13009,-36.448162
pop,-33.426105,-9.281392
pop,33.881493,19.243927
pop,62.39741,-62.350693
pop,-44.422726,-19.939852
pop,-70.71464,1.0717763
pop,-12.9033785,-49.18708
pop,-68.5279,104.79645
pop,-56.488472,93.55747
pop,-70.64439,55.44359
pop,-31.33043,-1.2459002
pop,-103.43946,-75.30539
pop,-42.79622,-11.054759
pop,-6.8412066,-13.7068615
pop,-71.37484,-0.07345895
pop,32.009327,14.838591
pop,-18.307798,-83.71033
pop,-15.844652,83.28254
pop,-99.68923,4.9212146
pop,-3.479488,-121.772385
pop,-31.967327,81.43562
pop,-83.29493,53.277725
pop,-30.807215,-36.934242
pop,-100.59821,27.122282
pop,-11.798097,44.55268
pop,20.148165,-106.87967
pop,-90.24848,-59.63871
pop,-18.632437,93.61719
pop,-43.329815,-52.858006
pop,-16.413746,-2.8447413
pop,60.503933,10.742431
pop,-38.07329,-83.41008
pop,-8.297211,-21.81028
pop,-67.94604,-18.379684
pop,66.31689,74.3715
pop,-44.407925,-19.38703
pop,-3.9996605,-99.15973
pop,3.1130607,-108.86704
pop,18.109413,114.53252
pop,1.7560579,12.739838
pop,6.9392595,-93.13415
pop,83.06667,41.184097
pop,-18.60276,-30.703932
pop,62.809017,-65.98449
pop,-2.2039194,-51.655666
pop,21.222225,16.282192
pop,26.270197,28.421827
pop,70.245766,-21.35957
pop,-5.6161876,109.36457
pop,91.14514,-18.701239
pop,17.672606,-52.98363
pop,29.297024,79.97293
pop,-4.965586,114.53187
pop,72.72972,99.21212
pop,30.523867,-98.57604
pop,29.63884,-21.421774
pop,-44.855633,81.03395
pop,-43.454372,-53.45564
pop,-3.7872174,73.95754
pop,33.936554,-41.49195
pop,23.326605,-63.765743
pop,-55.892727,44.906853
pop,-8.476732,-19.470861
pop,50.251335,-71.347595
pop,33.562122,-42.64079
pop,-55.42108,41.511047
pop,43.904846,-104.92008
pop,-22.331284,-48.458775
pop,42.717663,-89.923706
pop,5.598747,-33.35259
pop,-6.783071,-3.4796433
pop,44.924473,98.06072
pop,56.54282,89.124886
pop,-49.633068,-76.288994
pop,-65.8735,33.853943
pop,77.31056,62.41683
pop,0.13475895,-63.85977
pop,-26.139185,-123.13902
pop,7.864679,73.39953
pop,-11.562401,-58.167095
pop,39.35459,-17.492727
pop,6.0865464,-109.18547
pop,46.375046,-113.407
pop,11.710209,3.8690367
pop,-39.583992,99.899124
pop,3.968123,-109.6744
pop,32.74051,-27.200502
pop,109.272316,-18.890032
pop,68.5631,41.411568
pop,42.810646,47.829712
pop,-27.906305,21.17378
pop,-16.22758,38.51738
pop,6.759586,-30.664003
pop,-33.325222,-58.494457
pop,28.385279,90.68151
pop,-8.625812,-19.697794
pop,35.570133,-1.39222
pop,29.353195,-62.59559
pop,-20.295956,10.996462
pop,7.5656743,-57.653996
pop,23.41209,-75.7674
pop,61.365814,-12.825874
pop,-14.457086,53.041527
pop,-6.370387,107.669014
pop,-12.913164,-65.78671
pop,6.675087,85.98519
pop,1.0426725,-17.987522
pop,-30.458157,33.175907
pop,-3.6904826,-130.94594
pop,78.85924,-3.5624273
pop,41.00669,-85.02308
pop,-15.142869,-85.47278
pop,-16.741705,15.349919
pop,4.3977575,51.38373
pop,8.152757,-98.715805
pop,30.616398,-104.46979
pop,52.93243,48.926548
pop,-16.723831,16.881725
pop,-28.532234,17.550758
pop,15.915493,60.10939
pop,-2.3212264,-45.483833
pop,-21.155771,-125.82981
pop,88.3871,-1.3011479
pop,41.334137,50.48588
pop,-29.835745,31.77183
pop,77.95479,32.778374
pop,2.311487,-77.99776
pop,123.95564,-14.314115
pop,42.096172,-49.043236
pop,115.23032,59.532295
pop,42.648716,48.29333
pop,17.65139,105.01846
pop,109.43574,37.61154
pop,36.232224,26.208479
pop,19.881426,-23.238247
pop,29.266476,-62.687412
pop,29.671576,116.62038
pop,7.732218,-107.54195
pop,-16.280373,-84.29922
pop,-1.5331874,-80.979256
pop,-62.35731,-79.08285
pop,34.54179,21.009338
pop,-78.59673,5.7117324
pop,-40.06582,2.7399518
pop,-65.10157,-13.726828
pop,-59.024437,65.1631
pop,29.915236,-94.02613
pop,-20.843328,64.3053
pop,-22.475517,61.681713
pop,55.86217,18.969984
pop,-11.691015,24.021397
pop,9.774246,-12.32853
pop,-21.541573,-83.167915
pop,5.105653,51.06529
pop,13.230873,-5.949171
pop,-6.578137,-11.771337
pop,23.30768,-40.973446
pop,-96.26844,39.17859
pop,19.363537,-59.996353
pop,-27.023361,29.240946
pop,-47.04686,58.65926
pop,-16.08436,80.0485
pop,-45.416203,72.39563
pop,18.011345,65.96941
pop,-36.623802,10.431624
pop,16.894213,63.54258
pop,-22.626547,128.85269
pop,46.799522,-113.786125
pop,-7.0023074,15.630536
pop,-13.137011,-86.16297
pop,-113.48369,45.838814
pop,43.082764,-23.402138
pop,42.50966,-89.30423
pop,-2.4738827,-123.56495
pop,-72.56277,81.128586
pop,-85.797165,0.1998347
pop,42.105618,49.231205
pop,-61.995926,-80.90922
pop,34.814266,79.687645
pop,-28.231642,15.083481
pop,-17.312983,15.250006
pop,-17.983286,-97.25741
pop,-40.279587,-32.422256
pop,17.503426,111.22683
pop,-84.67161,72.88329
pop,29.302526,116.979454
pop,20.46428,-9.858633
pop,31.557478,-57.07739
pop,-25.824501,-16.514668
pop,-21.850613,111.62083
pop,122.82215,-11.483637
pop,-13.396081,-111.20239
pop,71.38064,-26.605324
pop,-53.220844,-11.399175
pop,-50.858513,-0.08714374
pop,-13.687826,-91.45314
pop,-51.993984,32.856712
pop,-93.367836,61.667877
pop,-11.62258,-45.90673
pop,-15.636306,-15.063703
pop,60.585773,-101.89961
pop,11.04893,28.412642
pop,29.905582,43.129234
pop,-5.9446335,103.75394
pop,-25.085878,-122.84382
pop,-23.37267,-59.834625
pop,-70.16661,53.015076
pop,43.5686,16.976288
pop,-28.20913,14.896314
pop,-56.42227,102.313835
pop,-18.283571,-32.536274
pop,-28.336306,41.23751
pop,-9.439922,46.80373
pop,-97.10072,34.896236
pop,-70.09563,-58.589584
pop,-57.56887,-91.79891
pop,-48.912384,-79.83403
pop,-11.76423,-45.59977
pop,-42.962322,-15.909162
pop,-57.8853,-91.165764
pop,-19.73159,-126.472984
pop,-57.634377,-35.673958
pop,-89.72268,-62.097576
pop,-90.52328,13.400485
pop,28.72941,4.980264
pop,-16.125183,89.85623
pop,-17.66491,116.68362
pop,-20.648808,29.851784
pop,-11.980644,56.706757
pop,-49.968407,24.995562
pop,-61.499325,-2.1780667
pop,-0.14640048,-25.219364
pop,-7.1416326,-73.16393
pop,0.014180659,-23.174007
pop,-11.67286,-45.911137
pop,-41.211327,-3.5770953
pop,25.71959,-34.08317
pop,-72.16133,-2.5211139
pop,-30.762756,-3.8820589
pop,-93.80855,-52.52216
pop,-84.88871,-2.5614073
pop,-64.58917,-13.032775
pop,-85.27219,-31.20065
pop,-95.952614,-3.3903987
pop,-17.645699,92.3299
pop,-40.18769,-107.562836
pop,-27.3685,-98.64044
pop,-6.522495,-11.415624
pop,-72.04655,71.74652
pop,-42.915497,-12.83446
pop,7.398705,79.4632
pop,30.676512,-101.25838
pop,-12.74648,-65.61819
pop,-85.25713,75.989204
pop,11.3572445,42.28173
pop,-23.151703,-124.10323
